O3,RH,WSP,TMP
18.7,63.5,1.9,14.9
20.6,60.3,1.6,15.3
19.2,58.7,1.9,15.1
16.6,58.5,2.2,14.1
15.6,66.0,1.6,12.2
18.9,51.1,1.6,14.4
17.5,49.3,1.6,14.6
18.0,54.5,1.3,14.4
19.9,44.1,1.5,15.1
24.2,46.1,1.7,15.1
22.7,52.7,1.9,14.1
24.1,50.7,1.7,14.4
26.4,45.5,1.6,14.7
26.8,44.4,1.5,14.3
25.7,40.6,1.4,14.9
25.9,45.8,1.5,15.2
20.4,43.1,1.6,14.3
19.3,50.5,1.9,13.0
18.6,49.4,1.6,13.6
19.6,41.3,2.4,14.9
14.2,54.0,0.8588791228978833,14.6
15.7,46.7,1.8,15.1
20.3,43.7,1.5,15.6
21.1,43.1,1.3,16.0
22.5,42.2,1.4,16.2
22.0,46.2,1.4,16.5
15.3,45.9,0.8588791228978833,15.7
18.8,44.4,1.7,15.8
18.3,41.5,1.7,16.5
19.1,40.4,1.9,16.2
25.9,44.7,1.7,14.4
17.3,48.9,2.2,12.6
18.5,48.2,1.7,12.6
21.7,43.0,1.5,13.7
21.3,39.6,1.7,14.5
26.2,37.8,1.4,15.1
22.0,36.8,1.5,14.4
19.9,46.8,1.6,14.5
